Interval,Actual Error,Estimated Error,Error Delta,Relative Data,Cumulative % of E,Actual Cumulation,Estimated Cumulation,Cumulation Delta,Relative Delta
1.0000,1.0000,0.7241,0.2759,27.5874,1.0000,1.0000,0.7241,0.2759,27.5874
2.0000,0.0000,4.2552,-4.2552,-inf,1.0000,1.0000,4.9793,-3.9793,-397.9287
3.0000,1.0000,11.9617,-10.9617,-1096.1690,2.0000,2.0000,16.9410,-14.9410,-747.0488
4.0000,15.0000,24.8270,-9.8270,-65.5134,17.0000,17.0000,41.7680,-24.7680,-145.6941
5.0000,15.0000,43.5792,-28.5792,-190.5279,32.0000,32.0000,85.3472,-53.3472,-166.7099
6.0000,32.0000,68.7156,-36.7156,-114.7362,64.0000,64.0000,154.0627,-90.0627,-140.7230
7.0000,29.0000,100.5036,-71.5036,-246.5643,93.0000,93.0000,254.5664,-161.5664,-173.7273
8.0000,45.0000,138.9765,-93.9765,-208.8366,138.0000,138.0000,393.5428,-255.5428,-185.1760
9.0000,34.0000,183.9309,-149.9309,-440.9732,172.0000,172.0000,577.4737,-405.4737,-235.7405
10.0000,67.0000,234.9323,-167.9323,-250.6453,239.0000,239.0000,812.4060,-573.4060,-239.9188
11.0000,41.0000,291.3286,-250.3286,-610.5574,280.0000,280.0000,1103.7346,-823.7346,-294.1909
12.0000,71.0000,352.2733,-281.2733,-396.1596,351.0000,351.0000,1456.0079,-1105.0079,-314.8171
13.0000,77.0000,416.7598,-339.7598,-441.2465,428.0000,428.0000,1872.7677,-1444.7677,-337.5626
14.0000,80.0000,483.6628,-403.6628,-504.5785,508.0000,508.0000,2356.4306,-1848.4306,-363.8643
15.0000,80.0000,551.7870,-471.7870,-589.7338,588.0000,588.0000,2908.2176,-2320.2176,-394.5948
16.0000,42.0000,619.9194,-577.9194,-1375.9987,630.0000,630.0000,3528.1370,-2898.1370,-460.0217
17.0000,60.0000,686.8820,-626.8820,-1044.8034,690.0000,690.0000,4215.0190,-3525.0190,-510.8723
18.0000,92.0000,751.5815,-659.5815,-716.9364,782.0000,782.0000,4966.6005,-4184.6005,-535.1152
19.0000,31.0000,813.0525,-782.0525,-2522.7499,813.0000,813.0000,5779.6530,-4966.6530,-610.9044
20.0000,68.0000,870.4926,-802.4926,-1180.1361,881.0000,881.0000,6650.1455,-5769.1455,-654.8406
21.0000,51.0000,923.2856,-872.2856,-1710.3639,932.0000,932.0000,7573.4311,-6641.4311,-712.5999
22.0000,51.0000,971.0135,-920.0135,-1803.9480,983.0000,983.0000,8544.4446,-7561.4446,-769.2212
23.0000,30.0000,1013.4557,-983.4557,-3278.1858,1013.0000,1013.0000,9557.9004,-8544.9004,-843.5242
24.0000,29.0000,1050.5783,-1021.5783,-3522.6836,1042.0000,1042.0000,10608.4786,-9566.4786,-918.0882
25.0000,31.0000,1082.5125,-1051.5125,-3391.9758,1073.0000,1073.0000,11690.9911,-10617.9911,-989.5611
26.0000,20.0000,1109.5280,-1089.5280,-5447.6400,1093.0000,1093.0000,12800.5191,-11707.5191,-1071.1362
27.0000,31.0000,1132.0008,-1101.0008,-3551.6154,1124.0000,1124.0000,13932.5199,-12808.5199,-1139.5480
28.0000,30.0000,1150.3800,-1120.3800,-3734.6001,1154.0000,1154.0000,15082.8999,-13928.8999,-1207.0104
29.0000,7.0000,1165.1562,-1158.1562,-16545.0891,1161.0000,1161.0000,16248.0562,-15087.0562,-1299.4880
30.0000,15.0000,1176.8322,-1161.8322,-7745.5477,1176.0000,1176.0000,17424.8883,-16248.8883,-1381.7082
31.0000,3.0000,1185.8986,-1182.8986,-39429.9549,1179.0000,1179.0000,18610.7870,-17431.7870,-1478.5231
32.0000,4.0000,1192.8159,-1188.8159,-29720.3963,1183.0000,1183.0000,19803.6028,-18620.6028,-1574.0155
33.0000,15.0000,1198.0001,-1183.0001,-7886.6673,1198.0000,1198.0000,21001.6029,-19803.6029,-1653.0553
